account_name,SEO,SEM/SMA,SMM,Industry,What do they sell?
1 TCM,Yes,,,Healthcare - TCM,Traditional Chinese Medicine services
101 Credit Pte Ltd,Yes,,,Financial Services - Licensed Moneylender,Personal loans
21st Century Beauty Spa,Yes,,,Beauty Services - Spa,Spa and beauty services
360 Bathware Pte Ltd,Yes,,,Building Materials - Sanitary Ware,Bathroom and sanitary ware
81 Electrical,Yes,,,Home Services - Electrical,Electrical works and services
A-CHIEVEMENT SOLUTION (S) PTE LTD,Yes,Yes,,B2B - IT / Solutions,IT solutions and services
ABC Photography,Yes,Yes,,Events / Photography,Photography services
ABSOLUTE CHIROPRACTIC PTE. LTD - The Optimisation Suite,,Yes,,Healthcare - Chiropractic,Chiropractic services
Acco Brands,,Yes,,Retail - Stationery / Office,Office supplies and stationery brands
Accountancy Hub,Yes,,,Professional Services - Accounting,Accounting and corporate services
Achieve Medical,Yes,Yes,,Healthcare - Medical Aesthetics,Aesthetic and medical treatments
Acsolv Consult,Yes,,,Professional Services - Consulting,Business consulting
Activate,Yes,,,B2B - IT / Tech Consultancy,"Software development, UI/UX, cloud, Microsoft solutions, resource augmentation"
Adecco Singapore,Yes,Yes,,Employment - Recruitment,Recruitment and staffing services
Aeon Medical & Aesthetics Centre (Paid Ads),Yes,Yes,Yes,Healthcare - Medical Aesthetics,Aesthetic and medical treatments
Afogreen Build,Yes,,,Construction - Green Building,Sustainable construction
AgileAsia,Yes,Yes,,Corporate Training / Consulting,Agile and business transformation training
Aglow Corporate Services,,Yes,,Professional Services - Corporate Sec,Corporate secretarial services
Agnes-ai,Yes,,,B2B - AI SaaS Platform,"AI platform (LLM + Agent) — Singapore Sapiens Technology; comparable to Manus/Complexity, uses Deepseek & Claude LLMs"
Agribusiness Connect Asia (Cheese from USA),,,Yes,Business and trade association,Promote cheeses from USA
Airple,Yes,,,Home Services - Aircon,Air-conditioning servicing and installation
Alcatel-Lucent Enterprise,,Yes,,B2B - Telecom / Networking,Enterprise networking and communications
ALIGN BRACES CLINIC PTE LTD,Yes,,,Healthcare - Dental / Orthodontics,Orthodontic and braces services
Alliance Francaise de Singapour,,Yes,,Education - Language (French),French language classes
Allied Foodservice Equipment (S) Pte Ltd,,Yes,,B2B - F&B Equipment,Commercial kitchen equipment
AlphaLab Capital Pte Ltd,,Yes,,Financial Services - Trading / Fund,Proprietary trading / investment
Ampersand Associates,Yes,,,Professional Services - Consulting,Business consulting
Ancloz Engineering,Yes,,,B2B - Engineering,Engineering services
Anmako,Yes,,,Retail - Apparel (Batik / Linen),"Batik clothing (cheongsam, dresses, men's shirts) and Japanese linen/cotton pyjamas"
Ansac Technology (S) Pte Ltd,Yes,,,B2B - Industrial Tech,Industrial technology / equipment
Antidote,Yes,,,F&B - Cold-Pressed Juice,"Cold-pressed juices, juice cleanses, detox packs (retail + corporate/hotel supply)"
Apollo Global Academy,Yes,Yes,,Education - Enrichment,Academic enrichment
Apple Tree Playhouse,Yes,,,Education - Preschool / Playgroup,Playgroup and childcare
AQ Dance,Yes,,,Education - Dance,Dance classes
Archawyn,Yes,,,Retail - Jewellery (Handcrafted),"Handcrafted bespoke jewellery — pearls, gemstones, jade, 18K vermeil, rhodium"
Ardex - Quicseal Singapore,Yes,,,Building Materials - Waterproofing,Waterproofing and construction chemicals
Arina East,,Yes,,Real Estate - Residential,Residential condo launch
Ark Rack,,Yes,,B2B - Racking / Storage,Industrial racking and storage systems
Artjumma,Yes,,,Retail - Art / Kids,Kids art products / activities
Asia Car Leasing,Yes,,,Automotive - Leasing,Car leasing and rental
Asia Insight,Yes,,,Professional Services - Market Research,Market research services
Aspect Mover & Warehousing Pte Ltd,Yes,Yes,,Logistics - Moving & Storage,Moving and warehousing services
Atlas Technologies Corporation,Yes,,,B2B - Technology,Technology solutions
Aurealis Serviced Residence Pte Ltd,Yes,Yes,,Hospitality - Serviced Residence,Serviced apartments / extended stay
Auspicium Medical,Yes,,,Healthcare - Medical Aesthetics,Aesthetic medical treatments
AutismStep,Yes,Yes,,Healthcare - Special Needs,Autism therapy and intervention
BalletBody,Yes,,,Fitness & Wellness - Ballet Fitness,Ballet-inspired fitness classes
BearyFun Gym (Paid Ads),Yes,Yes,Yes,Fitness & Wellness,Gym memberships and personal training
Beautiful Gatherings,Yes,,,Events / Wedding,Wedding and event services
Bee Choo Corporation Pte Ltd,Yes,Yes,,Beauty Services - Hair,Herbal hair treatment services and products
BELFOR Restoration Services Pte Ltd,Yes,,,Property Services - Restoration,"Property damage restoration (fire, water, mould)"
Bellydance Haven LLP,Yes,,,Education - Dance,Belly dance classes
Beng Chuan Machine,Yes,Yes,,B2B - Machinery,Industrial machinery supply
Bentz Jaz,,Yes,,Retail - Sanitary / Kitchen,Sanitary ware and kitchen products
Bertazzoni,,Yes,,Retail - Premium Kitchen Appliances,"Luxury Italian kitchen appliances — ovens, stoves, cooktops, range hoods, fridges (140-year family brand, showroom/distributor model)"
Best Imprezzion,,Yes,,Retail - Keepsakes / Baby Gifts,"3D hand and foot imprint portraits, castings (baby, family, pet), framed keepsakes"
Beyond Footprint,,Yes,,Travel - Tours,Travel and tour services
Bio Organicare Scalp Pte Ltd,Yes,,,Beauty Services - Scalp,Scalp and hair treatment services
Blue Herring Academy,Yes,,,Education - Tuition (English),"English tuition for secondary, IP, JC and private candidates (G2/G3/NA/O-Level/JC); exam-oriented"
Bluetree Education,,Yes,,Education - Tuition,Tuition / enrichment
Blum South East Asia,,,Yes,B2B - Cabinet Hardware,Cabinet hinges and hardware
Bryan Tan Novena Pte Ltd,Yes,Yes,,Healthcare - Specialist Clinic,Specialist medical clinic
Calvin Lim - SEM Renewal,,Yes,,Financial Services - Insurance,Insurance agent (individual)
CamTech Health,Yes,,,Healthcare - Diagnostics,Health screening and diagnostics
Canaan Dental Pte Ltd,Yes,,,Healthcare - Dental,Dental services
Canatec,Yes,,,B2B - Data Centre Infrastructure,"Precision cooling, liquid cooling, CDU, CRAC/CRAH units, data centre monitoring"
"Cannon Pest Management Co., Ltd (Thailand)",,Yes,,Pest Control,Pest control services
Carpet Cleaning Services,Yes,Yes,,Home Services - Carpet Cleaning,Carpet cleaning services
CarpetWorkz Private Limited,Yes,Yes,,Home Services - Carpet Cleaning,Carpet cleaning and maintenance
Carragheen (Paid Ads),Yes,Yes,Yes,Beauty Services - Facial/Lash/Brow,"Facial, body, lash, brow treatments and skincare products"
Cartier MY (EN),Yes,,,Retail - Luxury Jewellery & Watches,"Luxury jewellery, watches and accessories"
Cartier SG (CN),Yes,,,Retail - Luxury Jewellery & Watches,"Luxury jewellery, watches and accessories"
Cartier SG (EN),Yes,,,Retail - Luxury Jewellery & Watches,"Luxury jewellery, watches and accessories"
Casa Concetto Pte Ltd,Yes,Yes,,Retail - Furniture,Furniture and home furnishings
Casket Fairprice Pte Ltd,Yes,,,Funeral Services,Funeral and bereavement services
Catch of the Day,Yes,Yes,,F&B - Seafood Supplier (B2C),"Fresh seafood direct from Jurong Fishery Port — first-pick supplier, next-day delivery to consumers"
Cater Co Singapore,,Yes,,F&B - Catering,Event and corporate catering
CatsnCo,,Yes,,Retail - Pet,Pet products / cat cafe
CBL Interactive Pte Ltd (118 Credit),Yes,,,Financial Services - Licensed Moneylender,Personal and business loans
CCL Commercial Leasing (Paid Ads),,Yes,Yes,Real Estate - Commercial Leasing,Commercial property leasing
Cellini Design Center,Yes,,,Retail - Furniture,Designer furniture
Chan Brothers Prestige,Yes,,,Travel - Luxury,Luxury and premium travel packages
Chateau De Sable Pte Ltd,Yes,Yes,,Retail - Kidswear,Children's clothing
Chemistry Practice,Yes,,,Education - Tuition,Chemistry tuition
Chen's Mapo Tofu,Yes,,,F&B - Restaurant,Sichuan restaurant
Chi Han Trading,Yes,,,B2B - Building Construction Materials,"Sand, aggregates, bricks, blocks, wall panels, cement, chemical compounds, precast concrete (construction supply)"
Chinese Instrumental Music School,,Yes,,Education - Music,Chinese instrument music classes
Chiropractic Studio,Yes,,,Healthcare - Chiropractic,Chiropractic services
Choice Hua Sheng,Yes,Yes,,Education - Language (Chinese),Chinese tuition and enrichment (preschool to Sec 4)
Chrysalis Tours,Yes,,,Travel - Tours,Tour packages
Cimmerian Crane Services Pte Ltd,,Yes,,B2B - Crane Services,Crane rental and lifting services
Citylink Mall,,,Yes,Retail - Shopping Mall,Shopping mall (retail tenants)
CKS Property,Yes,,,Real Estate - Agency,Property agency services
Clean Care Pte Ltd,Yes,,,Home Services - Cleaning,Cleaning services
Clean Off,Yes,,,Home Services - Cleaning,Cleaning services
Cleo Aesthetic (Paid Ads),Yes,Yes,Yes,Healthcare - Medical Aesthetics,Aesthetic medical treatments
Club Face,Yes,,,Leisure - Country Club,Country / golf club membership
ClubFACE,,Yes,,Beauty Services / Aesthetics,Facial and aesthetic services
Coast N Co.,,Yes,,Interior Design & Renovation,Residential and commercial interior design
Coastes,Yes,Yes,,F&B - Beach Bar,"Siloso Beach (Sentosa) beach bar — beers, spirits, food, sunbeds by the water"
Colebuild,Yes,Yes,,Construction / Interior,Construction and interior build services
Coliwoo,Yes,,,Accommodation Rental,Co-living and serviced apartments
Colzani,Yes,Yes,,Retail - Luxury Italian Furniture,"Premium Italian bespoke furniture (Nicoline, Naturedesign, Potocco, Ronda Design) — sofas, dining tables, beds; price point $20K+"
ComeNow,Yes,,,Home Services - Marketplace App,"One-stop services marketplace (aircon, cleaning, handyman, plumbing, electrical, moving, painting)"
ComfortDelGro Rent-A-Car Pte Ltd,,Yes,,Automotive - Rental,Car rental
CommonTown,Yes,,,Education - Enrichment,Learning platform / enrichment
Confidence Funeral,Yes,,,Funeral Services,Funeral services
Conservation Capital,Yes,,,Professional Services - Finance,Conservation finance advisory
Cool Channels Engineering Pte Ltd,Yes,Yes,,Building Services - M&E,Ductwork and M&E engineering
Costume N Parties,Yes,,,Retail - Party / Costumes,Costumes and party supplies
Cover Projects Pte Ltd - The Initial Residence,Yes,Yes,,Accommodation Rental,Studio Apartments
CraveFX,,Yes,,Creative Services - VFX / Animation,Visual effects and animation
Credo Assurance,Yes,,,Financial Services - Insurance / Advisory,Insurance and financial advisory
Curion,Yes,Yes,,Education - Tuition,Tuition / learning centre
Curos Learning,Yes,,,Education - Tuition,Tuition / enrichment
Curtain K Pte Ltd,,Yes,,Retail - Curtains / Blinds,Curtains and blinds
D' Hauz,,Yes,,Interior Design & Renovation,Interior design services
D'Spring Enterprise Holdings Pte Ltd,Yes,Yes,,Retail - Furniture,Furniture and home furnishings
Daddy De Clieu,,,Yes,F&B,Coffee capsules
De Art Studio,Yes,Yes,,Interior Design & Renovation,Interior design services
Delifrance,Yes,,,F&B - Bakery Cafe,Bakery cafe products
Dezign Format,,Yes,,B2B - Design & Build (Experiences),"Design and build for exhibitions, brand activations, festive décor, museums, retail fit-out; Enterprise 50 award winner, MARKies award, 37 years, Bahrain office"
Disk Precision Group - Singapore,Yes,,,B2B - Precision Engineering,Precision machining and components
Disk Precision Group - Thailand,Yes,,,B2B - Precision Engineering,Precision machining and components
Disk Precision Group - USA,Yes,,,B2B - Precision Engineering,Precision machining and components
Disk Precision Group - Vietnam,Yes,,,B2B - Precision Engineering,Precision machining and components
Doctor Clean,Yes,Yes,,Home Services - Cleaning,Home cleaning services
Dou Yee Bio Med,Yes,,,B2B - Medical / Lab,Medical and lab products
Dou Yee Enterprises,Yes,,,B2B - Electronics / Industrial,Electronics and industrial packaging
Dr Jenica Yong ENT,Yes,,,Healthcare - ENT Specialist,ENT specialist services
Dr Valentin Low Aesthetic & Laser Clinic,Yes,,,Healthcare - Medical Aesthetics,Aesthetic and laser treatments
Dreamlash,Yes,,,Beauty Services - Lash,Eyelash extensions
Duravit,,,Yes,Building Materials - Sanitary Ware,Bathroom and sanitary ware products
E-Bridge Pre-School,Yes,,,Education - Preschool,Preschool and childcare services
E2I,Yes,,,Employment Services,Employment and career services
Eagles Mediation Counselling Centre,Yes,Yes,,Healthcare - Counselling,Counselling and mediation services
EcoSpace Pest,Yes,Yes,,Pest Control,Pest control services
Ecube Vehicle Rental,Yes,,,Automotive - Rental,Vehicle rental
Eden Grace Maid Agency,Yes,,,Employment - Maid Agency,Domestic helper agency
Edmund Vehicle Rental Pte Ltd,Yes,Yes,,Automotive - Rental,Vehicle rental
Eduaid,,Yes,,Education - Tuition,Tuition / enrichment
EduEdge Learning Hub,Yes,,,Education - Tuition,English tuition
Elite Auto Rescue Pte Ltd,Yes,Yes,,Automotive Services,Vehicle towing and roadside assistance
Elite Dental Group,Yes,Yes,,Healthcare - Dental,Dental services
Elite Investment & Credit,Yes,,,Financial Services - Credit,Credit and investment services
Elsie Kitchen,Yes,Yes,,F&B,Restaurant / catering
Emjay Enterprises,Yes,,,B2B - Manufacturing & Distribution,"Manufacture and distribute apparel/garments, health & wellness, FMCG across APAC"
Enjoy Eats Pte Ltd,Yes,,,F&B - Restaurant / Catering,F&B and catering (specifics uncertain — recommend AM to verify)
Enlightened Hand Learning Hub,Yes,,,Education - Student Care + Tuition + Chinese Enrichment,"After-school student care + primary tuition + Chinese enrichment (Qu Wei Shi Zi) + holiday programmes; 2 centres (Tembeling, MacPherson)"
ENT Surgeons Pte Ltd - Dr Dennis,Yes,Yes,,Healthcare - ENT Specialist,ENT specialist consultation and surgery
Ergoworks Singapore,Yes,Yes,,Retail - Office Furniture / Ergonomics,Ergonomic chairs and office furniture
eSolar Pro,Yes,Yes,,Home/ office Improvement Services,"Window film installation- Solar film, blackout film"
ESR REIT,Yes,Yes,,Real Estate - Industrial REIT,Industrial and logistics real estate (investor relations)
Eternity Waterproofing,Yes,Yes,,Home Services - Waterproofing,Waterproofing services
Eton Academy,Yes,,,Education - Tuition,Tuition services
EtonHouse,Yes,,,Education - International Preschool / School,International preschool and school
Eurokars Leasing Pte Ltd,Yes,Yes,,Automotive - Leasing,Car leasing and rental
EV Hub - AION,,Yes,,Automotive - EV,Electric vehicle dealership
Events Partner,Yes,,,Events / Rental,Event rental and staging services
Everpet,Yes,,,Funeral Services,Pet funeral
Everpet Pte Ltd,,Yes,,Retail - Pet,Pet food and supplies
EZVIZ,,,Yes,Retail - Smart Home / Security,Smart home cameras and security products
FASST Leasing,Yes,,,Automotive - Leasing,Vehicle leasing
FieldNotes,Yes,Yes,,F&B - Bakery / Cakes,"Handcrafted cakes and desserts (boutique bakery, 4 SG outlets)"
Fine Podiatry Clinic,Yes,Yes,,Healthcare - Podiatry,Foot and ankle care services
First Choice Pest Specialist,Yes,,,Pest Control,Pest control services
Flo Energy,Yes,,,Utilities - Electricity Retail,Electricity retail plans
Floof,,Yes,,Retail - Pet,Pet products / grooming
Focus Chemistry,Yes,,,Education - Tuition,Chemistry tuition
Foods-Bridge International,,Yes,,B2B - Food Trading / Distribution,Food trading and distribution (specifics uncertain — recommend AM to verify)
Forest Adventure (Paid Ads),Yes,Yes,Yes,Leisure & Attractions,Outdoor adventure park / activities
Frank Dental,Yes,,,Healthcare - Dental,Dental services
Fresenius Medical Care,,Yes,Yes,Healthcare - Dialysis,Dialysis and renal care
Fresh Laundry (Paid Ads),Yes,Yes,Yes,Home Services - Laundry,Laundry and dry cleaning services
Fresver Beauty,Yes,,,Beauty Services - Facial,Facial and beauty services
Fun Learners (Tampines),,Yes,,Education - Preschool / Enrichment,Preschool and enrichment
G Journey Services,Yes,,,Travel Services,Travel services
Garden of Remembrance,,Yes,,Funeral Services,Columbarium / memorial services
Gen K International,Yes,,,Retail - Jewellery (Jade),"Modern jade jewellery — bangles, rings, wedding sets (Si Dian Jin), bespoke"
General Waterproofing & Service,Yes,Yes,,Home Services - Waterproofing,Waterproofing services
Genetron Singapore Pte Ltd,Yes,,,Healthcare - Diagnostics / Genomics,Genetic testing / precision oncology
Genius Mind,Yes,,,Education - Home Tuition Agency,"1-to-1 home tuition matching agency (since 2012); 20,000+ students connected with private tutors; no long-term contracts"
Gift Singing Studio,,Yes,,Education - Music / Vocal,Vocal coaching
Gilmore & Damian D'Silva,,Yes,,F&B - Restaurant,Restaurant
GITI,,,Yes,Retail - Tyres,"Passenger car, SUV, light truck, truck & bus tyres (Giti tyre brand, global manufacturer)"
GKE Services Pte Ltd,,Yes,,Logistics - Warehousing,Warehousing and logistics
Glamour Plus Brow Lash Nail Studio,Yes,,,Beauty Services,"Brow, lash and nail services"
Global & Golden Pte Ltd - Ice Secret,,Yes,,F&B - Dessert,Ice cream / desserts
Global Ehsan Relief,Yes,Yes,,Non-Profit - Humanitarian,Charity donations and humanitarian aid
Glow Haven Aesthetics And Wellness,Yes,,,Healthcare - Aesthetics / Wellness,Aesthetic and wellness services
Gmove Logistics,Yes,,,Logistics - Moving,Moving services
Good View Interiors,Yes,,,Interior Design & Renovation,Interior design services
Gracecal Engineering,,Yes,,B2B - Engineering,Engineering services
Great Wall TCM & Acupuncture Pte Ltd,Yes,Yes,,Healthcare - TCM,Traditional Chinese Medicine and acupuncture
Great World Residences,,Yes,,Real Estate - Residential,Residential condo sales / leasing
Green Spade Pte Ltd,Yes,Yes,,Landscaping,Landscaping and gardening services
Grout Pro Tech,Yes,Yes,,Home Services - Tiling/Grout,Grout and tile restoration services
Halley Aesthetics Pte Ltd,Yes,Yes,,Healthcare - Medical Aesthetics,Aesthetic medical treatments
Halley Bodyworks Pte Ltd,Yes,Yes,,Healthcare - Medical Aesthetics,Body contouring and aesthetic services
Hamid and Sons Interior Design,Yes,,,Interior Design & Renovation,Interior design services
Happy Teeth Family Dental,Yes,,,Healthcare - Dental,Family dental services
Hardscapes,Yes,Yes,,B2B - Timber Decking & Architectural Wood,"Outdoor timber decking and indoor architectural timber (thermally modified NZ timber, WPC composite); gardens, balconies, façades, cladding"
Harvey Norman MY (Elitetrax),Yes,Yes,,Retail - Electronics & Furniture,"Electronics, furniture, bedding, computers"
Harvey Norman SG (Pertama Merchandising),Yes,Yes,,Retail - Electronics & Furniture,"Electronics, furniture, bedding, computers"
Heng Aircon,Yes,,,Home Services - Aircon,Air-conditioning servicing and installation
High House,Yes,Yes,,F&B - Rooftop Restaurant & Bar,"Fine dining, cocktails and nightlife at One Raffles Place (level 61-62)"
HighBrow Singapore (Paid Ads),Yes,Yes,Yes,Beauty Services,"Brow, lash and beauty services"
HighHouse,Yes,Yes,,F&B - Rooftop Bar,Rooftop bar and dining
Hitachi Construction Machinery (Paid Ads),,Yes,Yes,Construction Machinery,Construction and heavy machinery equipment
Hoft Interior,Yes,,,Interior Design & Renovation,Interior design services
HOH Law Corporation,Yes,Yes,,Professional Services - Legal,Legal services
Home Guide Design,Yes,,,Interior Design & Renovation,Interior design services
Horny.sg,Yes,,,Retail - Adult / Wellness,Adult products / sexual wellness
Hosanna Eternal Services,Yes,Yes,,Funeral Services,Funeral and bereavement services
Hotel Traveltine,,,Yes,Hospitality - Hotel,"Wyndham Trademark Collection hotel (Downtown Singapore) — rooms, dining, rooftop pool"
House of Teak (Singapore) Pte Ltd (Scankomfort),Yes,Yes,,Retail - Furniture,Teak and Scandinavian furniture
Hua Language Centre,Yes,Yes,,Education - Language,Chinese language enrichment classes
Huckleberry Music School,Yes,,,Education - Music,Music classes
Huda Childcare (SMM),,,Yes,Education - Preschool,Preschool and childcare
Huttons Asia Pte Ltd,Yes,,,Real Estate - Agency,Property agency services
Hyster Yale Lift Trucks Singapore,Yes,,,B2B - Material Handling,Forklifts and material handling equipment
IB Professional Pte Ltd,Yes,,,Education - Tuition (IB),IB tuition
ID2U,Yes,Yes,,Interior Design & Renovation,Interior design services
IDLink,Yes,,,B2B - Access Control / ID,Access control and ID solutions
iHome Solutions (Paid Ads),,Yes,Yes,Home Services / Smart Home,Smart home solutions
Income Insurance,Yes,,,Financial Services - Insurance,"Life, health, motor and general insurance"
Indocafe,,,Yes,F&B - Instant Coffee,"Indonesian instant coffee brand — 3-in-1 Coffeemix, instant coffee powder, White Coffee; sold via NTUC FairPrice"
Inspire Mum & Baby,Yes,,,Healthcare - O&G / Specialist,Women's health and O&G specialist
Intercontinental Hotel,Yes,,,Hospitality - Hotel,Hotel rooms and F&B
Intriq Journey,Yes,Yes,,Travel - Luxury Bespoke,"Tailor-made luxury holidays across Asia, Middle East, Africa; high-touch travel design"
ISS International School Pte Ltd,Yes,,,Education - International School,International school (IB)
Inudoki Private Limited,Yes,,,Dog boarding and pet care products,Dog Daycare and Boarding
IT maintenance (Achievement Solutions),Yes,,,B2B - IT Services,IT maintenance services
Iterum Interior,,Yes,,Interior Design & Renovation,Interior design services
Ivan The Hair People,Yes,,,Beauty Services - Hair,Hair salon services
IYA Wellness Group,,Yes,,Healthcare - Wellness / Massage,Massage and wellness services
Jennings Tradings Enterprise PTE. LTD.,Yes,,,B2B - Decorative Laminates Supplier,"Premium High Pressure Decorative Laminates (HPL) for interior surfacing — woodgrains, solids, specialty finishes (since 1988)"
JForce Employment Service,Yes,,,Employment - Maid Agency,Domestic helper / maid agency services
Ji Mei Flower Pte Ltd,Yes,Yes,,Retail - Florist,Flowers and floral arrangements
Jia Le Textile,Yes,Yes,,Retail - Textile / Curtains,"Textiles, curtains and home fabrics"
Jialux Interior Pte Ltd SEM,Yes,Yes,Yes,Interior Design & Renovation,Interior design and renovation services
Joja Interior Studio,Yes,,,Interior Design & Renovation,Interior design services
Journey East Pte Ltd,,Yes,,Retail - Furniture,Contemporary Asian furniture
Joy Avenue,,Yes,,Retail - Gifts & Balloons,"Customised balloons, gifts, hampers, pet accessories"
Joytour Holidays,Yes,,,Travel - Tours,Tour packages and holidays
June Florist,,Yes,,Retail - Florist,Flowers and floral arrangements
June Skin Care,,,Yes,Beauty Services - Skin,Skincare services / products
K2 Strategic,Yes,,,Professional Services - Consulting,Strategy and IT consulting
Kadeka,Yes,,,Retail - Wine Chillers,"Premium wine chillers and cabinets with inverter technology; sold via Harvey Norman, Courts, Best Denki, Gain City"
Kaleida Studio,Yes,,,Creative Services,Creative / design studio
KDK,Yes,Yes,,Retail - Home Appliances,Fans and home appliances
Kee Yong Automobile,Yes,,,Automotive - Dealer,Used car dealership
Keppel Electric,Yes,,,Utilities - Electricity Retail,Electricity retail plans
Kidscampus,Yes,Yes,,Education - Preschool,Preschool and childcare services
Kim Paradise,,Yes,,F&B - Meal Delivery / Catering,Tingkat home-cooked meal delivery + buffet catering
Kinderland International Education Pte Ltd,Yes,Yes,,Education - Preschool,Preschool and childcare services
KOBLE,,Yes,,Smart Home Solutions,"Smart home systems (lights, curtains, blinds, gates, aircon, security) via integrated app; partner of SLA and HDB"
KOEI SING Pte Ltd,,Yes,,B2B - IT Asset Disposition / Recycling,"ITAD, data erasure, on-site destruction, material recycling (Japanese-owned)"
