account_name,SEO,SEM/SMA,SMM,Industry,What do they sell?
Kungfu Physics,Yes,,,Education - Tuition,Physics tuition
La Riqueza,Yes,Yes,,B2B - Sourcing / Retail,"China sourcing / procurement agent + retail furniture, lighting, home décor"
Läderach Chocolatier Suisse,,Yes,,Retail - Chocolate,Premium Swiss chocolates
Lady Americana (Far East Foam Singapore),Yes,,,Retail - Mattress,Mattresses and bedding
Leco Auto Pte Ltd,Yes,Yes,,Automotive - Dealer,Car dealership
Legendary Transport Management,Yes,Yes,,Logistics - Transport,Transport and logistics
Leonian (Hurley),Yes,,,Retail - Golf Equipment & Apparel,"Golf equipment, apparel and accessories retailer (subsidiary of Xebio Holdings Japan); 12 SG stores, exclusive distributor for 13 global golf brands"
Leonian (Paid Ads),Yes,Yes,,Retail - Golf Equipment & Apparel,"Golf equipment, apparel and accessories retailer (subsidiary of Xebio Holdings Japan); 12 SG stores, exclusive distributor for 13 global golf brands"
Leonian Singapore Ptd Ltd (Admiral Golf),,,,Retail - Golf Equipment & Apparel,"Golf equipment, apparel and accessories retailer (subsidiary of Xebio Holdings Japan); 12 SG stores, exclusive distributor for 13 global golf brands"
Leppek Electrical,,Yes,,Home Services - Electrical,Electrical services
Leslie Tay Heart Specialist,Yes,Yes,,Healthcare - Cardiology,Cardiology specialist services
LHN Energy Resources Pte Ltd,Yes,,,Energy - Biomass / Fuel,Energy and fuel resources
Lian Huat Leasing,Yes,Yes,,Automotive - Leasing,Vehicle leasing and rental
Liang Yi TCM,Yes,,,Healthcare - TCM,Traditional Chinese Medicine services
Life 'N Liquor,Yes,,,Retail - Liquor,Wines and spirits
Lifeline Cleaning,Yes,,,Home Services - Cleaning,Cleaning services
LIGHT AVENUE PTE. LTD (Paid Ads),Yes,Yes,Yes,Retail - Lighting,Lighting fixtures and home lighting
LingoAce,Yes,,,Education - Language (Online),"Online Chinese, English and Math classes for kids"
Little Flower Hut,Yes,,,Retail - Florist,Flowers and floral arrangements
Little Seeds Preschool (Anglican Preschool Services Ltd),Yes,Yes,,Education - Preschool,Preschool and childcare services
Live Well Chiropractic,Yes,Yes,,Healthcare - Chiropractic,Chiropractic services
Lusi Group,Yes,Yes,,Corporate Training - Sales / Leadership,"Soft skills, sales and leadership training (focus: financial advisors, agency leaders)"
M Motor Pte Ltd,Yes,Yes,,Automotive - Dealer,Used/new car dealership
M2 Decor,Yes,,,Interior Design & Renovation,Interior design services
Maddest Mad Honey,Yes,,,Retail - Specialty Food (E-commerce),Nepal mad honey e-commerce (worldwide shipping)
Made Suits,,Yes,,Retail - Tailoring,Bespoke tailored suits
MAG-IT,Yes,,,B2B - IT Services,IT services and solutions
Maison Interior Pte. Ltd.,,Yes,,Interior Design & Renovation,Interior design services
Mandarin Plus,,Yes,Yes,Education - Language,Chinese language classes
Mapei,Yes,Yes,,Building Materials - Adhesives,"Adhesives, sealants and construction chemicals"
Maple Bear Lavender,Yes,,,Education - Preschool,Canadian preschool (Maple Bear)
Maxi Home Living,Yes,,,Retail - Home / Furniture,Home and furniture products
Maxindo Enterprise Pte Ltd,Yes,,,B2B - Truck Spare Parts,"Diesel engine spare parts for Nissan/UD, Renault, Volvo trucks; bearings"
MDIS,,Yes,,Education - Private,"Diploma, degree and MBA programmes"
Media Architects,Yes,,,Professional Services - Media / PR,Media and PR services
Mee Mee Optics,Yes,,,Healthcare - Optometry,Eyewear and optometry services
Mega Furniture Pte Ltd,Yes,,,Retail - Furniture,Furniture retail
Mercure Bugis Singapore,,,Yes,Hospitality - Hotel,Hotel rooms and F&B
Meridian Homes Pte Ltd,Yes,,,Real Estate - Property / Developer,Property development / sales
MESPA,Yes,,,Beauty Services - Spa,Spa and wellness services
Metalo International,Yes,,,B2B - Metal Trading,Metal trading and supply
Middleton International School Pte Ltd,Yes,,,Education - International School,International school
Million Parcel,Yes,,,Logistics - Courier,Courier and parcel delivery
Mind and Body Health Consultancy Pte. Ltd,,Yes,,Healthcare - Wellness,Wellness and health consultancy
MIT Technology,,Yes,,B2B - IT Services,IT services and solutions
Mofex Pte Ltd,,Yes,,Logistics - Moving,Residential and commercial moving services
Monster Prints,Yes,,,Retail - Printing,Custom printing services
Mortage Plus,,Yes,,Financial Services - Mortgage Broker,Mortgage brokerage
Mould Guru,Yes,,,Home Services - Mould Removal,Mould removal and remediation
MPN Tech,Yes,,,B2B - PCB Manufacturing & Assembly,"Rigid-flex, HDI, RF/microwave, aluminium PCBs; PCB assembly, repair, design, prototype, wire harness"
Mr Khemistry,Yes,Yes,,Education - Tuition (Chemistry),"Chemistry tuition centre for O-Level, A-Level, H2, IP — 3 branches (Bukit Timah, Hougang, Tampines)"
Musee,Yes,,,Beauty Services - Hair Removal,Hair removal (SSC) and skincare treatments (Musee Platinum Tokyo)
My First Sign,Yes,Yes,,B2B - Signage & Large Format Printing,"Signage (acrylic, 3D LED, lightbox, building signs, neon) and large format printing (backdrops, wall stickers, vehicle wraps); BCA advertising licence support"
My Inner Child Clinic,Yes,,,Healthcare - Psychology,Counselling and mental health services
myCarriage,Yes,Yes,,Funeral Services,Funeral services
Nanyang Business School,Yes,,,Education - Tertiary / MBA,MBA and business education programmes
Nasty Cookie,Yes,,,F&B - Gourmet Cookies,Gourmet cookies and baked goods; exploring B2B corporate gifting and event booth channels
Neko town,,Yes,,Leisure - Cat Cafe,Cat cafe / experience
New Genz Solution,,Yes,,Home/Commercial Services - Kitchen Exhaust,Kitchen exhaust installation and cleaning
Newcastle,,,Yes,Education - Tuition,"Tuition centre (Primary, Secondary, JC, O/A-level prep)"
Newway Air Conditioning,Yes,,,Home Services - Aircon,Air-conditioning servicing and installation
NOVA,Yes,Yes,,F&B - Rooftop Bar,Rooftop bar at One Raffles Place level 63 (OUE Sky / same group as HighHouse)
Nova Eye Centre,Yes,,,Healthcare - Ophthalmology,Eye specialist services
Nova Eye Centre Pte Ltd,,Yes,,Healthcare - Ophthalmology,Eye specialist services
NovaHealth TCM Clinic,Yes,Yes,,Healthcare - TCM,Traditional Chinese Medicine services
NPS International,Yes,Yes,,Education - International School,K-12 international school
NUH Corporate,Yes,,,Healthcare - Hospital,Public hospital services (National University Hospital)
NurtureStars Preschool,Yes,,,Education - Preschool,Preschool and childcare services
Nutrition Asia Group,,Yes,,Retail - Health Supplements,Health supplements and nutrition
O&G Specialist Clinic,Yes,Yes,,Healthcare - Specialist Clinic,Obstetrics and gynaecology services
Odyssey - The Global Preschool,Yes,,,Education - Preschool,International preschool
Office M,Yes,,,Professional Services - Corporate Services,"Company incorporation, secretarial, compliance, accounting, tax, virtual office"
Oki Data (Paid Ads),,Yes,Yes,B2B - Printing / Office Equipment,Printers and office printing equipment
One Futureworld,Yes,,,Retail - Consumer Electronics (Authorised Distributor),"Authorised Singapore distributor of Bose — soundbars, speakers, headphones, earbuds, home cinema"
Optimal Works Pte Ltd,,Yes,,Interior Design & Renovation,Commercial and residential renovation
Orange Academy,,Yes,,Education - Enrichment,Enrichment / training
Orange Clove,Yes,,,F&B - Catering,Event and corporate catering
Orange Tree Preschool,Yes,,,Education - Preschool,Preschool and childcare
Orange Valley,Yes,Yes,,Healthcare - Nursing Home (Enterprise),"5 nursing homes / 900+ beds; residential nursing, rehab, dementia care, day care; owned by Cuscaden Peak Investments"
Orchard Health Clinic,Yes,Yes,,Healthcare - Chiropractic / Wellness,Chiropractic and wellness services
Oriental Remedies Group,Yes,,,Healthcare - TCM,Traditional Chinese Medicine services
OTO Wellness,Yes,,,Retail - Wellness Products (Enterprise),"Massage chairs, fitness machines, portable massagers, air purifiers — 45+ years, 30+ countries, 500+ outlets"
OTOM Services,Yes,Yes,,B2B - Oilfield & Marine Equipment,"Valves, gaskets, offshore tools for oilfield/marine/petrochemical"
Our Momento,Yes,,,Events / Photography,Photo booth / event services
Overdrive,Yes,,,B2B - Fleet Management / IoT,"GPS fleet tracking, vehicle telematics, asset monitoring, driver behaviour systems"
PackInk,Yes,,,B2B - Custom Packaging,Custom packaging and packaging supplies
Paclin Office,Yes,,,B2B - Office Supplies,Office furniture and supplies
PandaTec Pte Ltd,Yes,,,B2B - Commercial Furniture,"Office, industrial, medical and lab furniture supplier"
Paws & Claws,Yes,,,Retail - Pet / Grooming,Pet grooming and supplies
Pearl Plastic Surgery Pte Ltd (Paid Ads),,Yes,,Healthcare - Plastic Surgery,Plastic and cosmetic surgery
Perry Management Clean Energy (PMCE),Yes,Yes,,Energy - Clean Energy Consulting,Clean energy consulting and solutions
Petite Fleur,,Yes,,Retail - Florist,Flowers and floral arrangements
PHarMed Import & Export Pte Ltd,Yes,,,Healthcare - Pharmaceutical Trading,Pharmaceutical import and distribution
Picasso Hair Studio,Yes,Yes,,Beauty Services - Hair,Hair salon services
Point One Fan,Yes,Yes,,Retail - Home Appliances,Ceiling fans and home appliances
PPIS,Yes,,,Non-Profit / Social Services,Women and family social services
Propnex (Nix) Zion Road,,Yes,,Real Estate - Agency,Property agent (Propnex)
Proserv Pest Pte Ltd,Yes,Yes,,Pest Control,Pest control services
Proterial Asia Pacific Pte Ltd,Yes,,,B2B - Materials / Manufacturing,Industrial materials
PSB Academy,Yes,,,Education - Private,"Diploma, degree and professional courses"
Publico,Yes,,,F&B - Italian Restaurant,"Italian restaurant at Robertson Quay — wood-fired pizzas, house-made pastas, riverside pet-friendly alfresco dining"
Purcotton (Hong Kong) Company Limited,,,Yes,Retail - Cotton Personal Care / Baby / Feminine,"100% natural cotton products — tissues, baby essentials, menstrual pads, bedding, disposable towels, underwear; under Winner Medical"
Pure Water,Yes,Yes,,B2B - Commercial Water Dispensers,"Commercial water dispensers (countertop, freestanding, wall-mounted, under-sink, vending) with RO/UV/carbon purification; rental + servicing model"
QB Plumbing Pte Ltd,Yes,,,Home Services - Plumbing,Plumbing services
Quahe Woo & Palmer LLC,Yes,,,Professional Services - Legal,Legal services
Radiation Oncology Singapore Pte Ltd,Yes,,,Healthcare - Oncology,Radiation oncology / cancer treatment
Raffles Kidz (Northeast),Yes,Yes,,Education - Preschool,Preschool and childcare services
Really Addictive Drinks,,Yes,,B2B - Custom Beverage Platform,"Custom beverages for brands/caterers/cafes/offices/events — cold-pressed juices, cold-brewed teas, specialty lattes; custom recipes and labels"
REHAB & BEYOND PTE. LTD.,Yes,,,Healthcare - Rehabilitation,Physiotherapy and rehabilitation
Renda TCM ,,,Yes,Healthcare - TCM,Traditional Chinese Medicine services
Rentokil Initial (Thailand) Ltd,Yes,Yes,,Pest Control & Hygiene,Pest control and hygiene services
Rentokil Initial Singapore Pte Ltd,Yes,Yes,,Pest Control & Hygiene,Pest control and hygiene services
RH Positive Education Preschool Pte Ltd,,Yes,,Education - Preschool,Preschool and childcare
RHB Bank Berhad,Yes,Yes,,Financial Services - Banking,Retail and business banking products
Right On Media,Yes,,,Professional Services - Media,Media and marketing services
RJ Security (SEM-R),,Yes,,B2B - Security Services,Security services
Ron Master Tailors,,Yes,,Retail - Tailoring,Bespoke tailored suits
Royal Animal Rescue,,Yes,,Non-Profit - Animal,Animal rescue and donations
S1 Plumbing,,Yes,,Home Services - Plumbing,Plumbing services
SafetySam,Yes,,,B2B - PPE & Safety Equipment,"PPE and industrial safety equipment — safety shoes, fire blankets, fall protection, high-vis, protective clothing; powered by PDS International (30+ years)"
saint àvia,Yes,,,Retail - Fine Jewellery (Luxury),"High-end fine jewellery — 14k/18k solid gold, natural gemstones and diamonds, minimalist modern designs for everyday wear"
Saint Clare School,Yes,,,Education - Private,Private school
Saldo Rehabilitation,Yes,,,Healthcare - Rehabilitation,Physiotherapy and rehabilitation
Samuel Goh,,Yes,,Real Estate - Agent (New Launch),"Property agent focused on new condo launches (Parktown Residence, Aurelle Tampines)"
SAN Automation Gate,Yes,Yes,,B2B - Gates / Automation,Automated gates
SARTORIUS SINGAPORE PTE. LTD,,Yes,,B2B - Life Sciences Equipment,Lab and bioprocess equipment
Sapling Grove,,,Yes,Education,Enrichment centre for pri sch kids
SATS,Yes,,,B2B - Aviation / Catering,Inflight catering and ground handling
School of Russian Ballet Singapore (P.K.A Little Dance Academy Pte Ltd),,Yes,,Education - Dance (Ballet),Ballet classes
"Seed of Life, Fertility & Women's Care Medical Centre",,Yes,,Healthcare - Fertility / O&G,Fertility and women's health services
Seeds (Preschool),,Yes,,Education - Preschool,Preschool and childcare
Select Catering,Yes,Yes,,F&B - Catering,Event catering services
Seriously Addictive Learning Center Pte Ltd,,Yes,,Education - Tuition,Maths tuition (SAM)
Shelf N Store,Yes,Yes,,Retail - Storage Solutions,Shelving and storage solutions
SHEVS IFT Consultants Pte Ltd,Yes,Yes,,Professional Services - Fire Safety,Fire safety consulting
Shift SG,,Yes,,Fitness & Wellness,Fitness / pilates studio
Shin Guan Pte Ltd,Yes,,,B2B - Crane Supplier & Service,"Overhead, gantry, monorail cranes, hoists; crane servicing and spare parts"
Shinko Crane,Yes,,,B2B - Crane Services,Crane services
Showcase+,,Yes,,Retail - Display / Furniture,Display cabinets / furniture
Sim The Builder,Yes,,,Construction / Renovation,Construction and renovation
Simply Education,Yes,,,Education - Tuition,Tuition services
Sin Chew Woodpaq,Yes,,,B2B - Specialised Industrial Logistics,"Wooden crating + heavy machinery moving + project logistics for semiconductor, aerospace, oil & gas; since 1970s; Heliconia-invested"
SINGAPORE ACCOUNTING AND BUSINESS SERVICES PTE. LTD,Yes,Yes,,Professional Services - Accounting,"Accounting, tax and corporate secretarial services"
Singapore Ballet Limited,,Yes,,Arts - Performing,Ballet performances / tickets
Singapore Heart Foundation,Yes,,,Non-Profit - Health,Heart health charity and donations
Singapore Hokkien Huay Kuan,,Yes,,Non-Profit - Clan Association,Clan and community services
Singtel Nxera,,,,Telco - Data Centre,Data centre services
Singtel RE-AI,,,,Telco - Enterprise / AI,Telco enterprise AI services
Singtel Satelite,,,,Telco - Satellite,Satellite communications
Sirius Maths (Port from Curion),Yes,Yes,,Education - Tuition,Maths tuition (secondary/JC)
SkinRev Medispa,Yes,,,Healthcare - Medical Aesthetics,Medispa and aesthetic treatments
Skyline Luge Singapore Company Pte Ltd,,Yes,,Leisure & Attractions,Luge ride and attractions (Sentosa)
Smartisan Reality Pte Ltd,,Yes,,Real Estate - Industrial (Developer),Smartfood @ Mandai industrial units for F&B/logistics/manufacturing SMEs (sale/rent-to-own)
Smartsource Management,Yes,Yes,,Real Estate - Co-working / Corporate Services,"Co-working space and corporate services (incorporation, secretarial, payroll, tax)"
Soilbuild,,Yes,,Real Estate - Developer / Construction,Property development and construction
Sonare Music School,Yes,,,Education - Music,Music classes
Soon Bee Huat Trading Pte Ltd,Yes,Yes,,Wholesale Trading,Wholesale trading (F&B / dry goods)
Space Hub,Yes,,,Real Estate - Self Storage / Co-Production,Self-storage units + co-production/warehouse spaces for SMEs and e-commerce (Woodlands); drive-in access
SPACE HUB PTE LTD,,Yes,,Real Estate - Self Storage / Co-Production,Self-storage units + co-production/warehouse spaces for SMEs and e-commerce (Woodlands); drive-in access
SparkCleanz,,Yes,,Home Services - Cleaning,Cleaning services
Specialist Orthopaedic Centre,Yes,Yes,,Healthcare - Specialist Clinic,Orthopaedic consultation and treatment
Spring Cleaning,Yes,Yes,,Home Services - Cleaning,Home cleaning services
St. Francis Methodist School,Yes,,,Education - Private School,Private school / IGCSE programme
Stamford Catering,Yes,Yes,,F&B - Catering,Event and corporate catering
Stationery World(s) Pte Ltd,,Yes,,Retail - Stationery,Stationery and office supplies
Stile Hair Studio,Yes,,,Beauty Services - Hair,Hair salon services
Stone For Gold Pte Ltd,,Yes,,Retail - Leather Goods (Customised),"Customised leather goods — watch straps, FOBS, corporate leather workshops; 20-year craftsmen"
Stone Loft Pte Ltd,Yes,,,Retail - Stone / Building Materials,Stone and building materials
Style It Simply,,Yes,,Events - Styling / Decor Rental,"Wedding, proposal and birthday event styling; balloon decor, dessert tables, prop rental"
Sui Generis Neon,Yes,Yes,,Retail - Custom Signage,Custom neon and LED signage
Sunstream Industries,Yes,,,B2B - Industrial,Industrial products / supply
Super Nanny Services,Yes,,,Employment - Confinement Nanny,Confinement nanny services
Supermath,Yes,,,Education - Tuition,Maths tuition
SUTD,,Yes,,Education - University,University education (Singapore University of Technology and Design)
Swee Heng Bakery,Yes,,,F&B - Bakery,Bakery products
Swee Heng Corporate,Yes,,,F&B - Bakery,Bakery (corporate)
T32 Dental Group,Yes,,,Healthcare - Dental,Dental and orthodontic services
Tab Gallery Design (Paid Ads),,Yes,Yes,Interior Design & Renovation,Interior design services
Tangs Clinic TCM,Yes,Yes,,Healthcare - TCM,Traditional Chinese Medicine services
Taste Asia,Yes,,,F&B - Asian Cuisine,Asian F&B (specifics uncertain — recommend AM to verify)
TELIgraph Business Systems Pte Ltd,,Yes,,B2B - Office Systems,Office systems and equipment
The Classroom,Yes,,,Education - Tuition,Tuition / enrichment
The Economics Tutor,Yes,,,Education - Tuition,Economics tuition (JC)
The ENT Practice Pte Ltd,Yes,,,Healthcare - ENT Specialist,ENT specialist services
The Golden Concepts Pte. Ltd.,,Yes,,Retail - Eldercare Products,Mobility aids and eldercare products
The Good Lads,Yes,Yes,,F&B - Cheese Shop & Bar,"Artisanal cheese, cheese platters, nougats, wine, dine-in cheese bar"
The Grange Institution,Yes,Yes,,Education - International School,International school
The Home Physio,Yes,,,Healthcare - Physiotherapy,Home-based physiotherapy
The Keppel Club,Yes,,,Leisure - Country Club,Country / golf club membership
The Learning Point,Yes,,,Education - Tuition,Tuition and enrichment
The Movement Laboratory,Yes,,,Fitness & Wellness,Pilates / movement classes
The Music Shed,Yes,Yes,,Education - Music,Music lessons
The Privilege Boutique,Yes,,,Retail - Luxury / Watches,Luxury watches and accessories
The Psychology Practice Pte Ltd,Yes,Yes,,Healthcare - Psychology,Psychology and mental health services
The Reg Consultants,Yes,,,Professional Services - Regulatory,Regulatory consulting
The Relationship Room LLP,Yes,,,Healthcare - Counselling,Relationship and counselling services
The Wayne Chan,Yes,,,Events / Creative - Professional Emcee,"Professional emcee for D&D, conferences, weddings, product launches, award nights; former Channel NewsAsia broadcast journalist"
The Yoga House,Yes,Yes,,Fitness & Wellness - Yoga,Yoga classes
The Yoga Mandala,Yes,,,Fitness & Wellness - Yoga,Yoga classes
thefurniture.com.sg,Yes,,,Retail - Furniture (E-commerce),Furniture sold online
Thekchen Choling Singapore,,Yes,,Non-Profit - Religious,Buddhist temple / donations
Theoretical Medicine TCM,Yes,,,Healthcare - TCM,Traditional Chinese Medicine services
Thomson Reuters,,Yes,,B2B - Information / News,"News, legal and financial data services"
Tien Hsia,Yes,Yes,Yes,Education - Language (Chinese),Chinese language enrichment classes
Timber Actually,Yes,Yes,,Retail - Flooring,Wood flooring and timber products
Timezone Singapore,,Yes,,Leisure & Attractions,Family entertainment arcades
Titan Relocation,,Yes,,Logistics - Moving,Relocation and moving services
Titanium Limousines,,Yes,,Transport - Limousine,Limousine and chauffeur services
TLS Academy,Yes,,,Education - Enrichment / Tuition,Tuition / academic programmes
Top Faith,Yes,,,Healthcare - Caregiver Agency,"MOM-licensed caregiver placement for elderly, dementia and palliative care"
TOTO Asia Oceania (Paid Ads),Yes,Yes,Yes,Building Materials - Sanitary Ware,Bathroom and sanitary ware products
Touch Community Services,,Yes,,Non-Profit - Social Services,Community and social services
Trans Family,,,Yes,Non-Profit - Social Services,"Family Service Centre, counselling, senior care, family violence support"
Traveltod,Yes,Yes,,Travel - Online,Online travel bookings
True Chiropractic,Yes,,,Healthcare - Chiropractic,Chiropractic services
TTS Copier,Yes,,,B2B - Office Equipment,Copier and office equipment
Unicontrols Singapore,Yes,Yes,,B2B - Industrial Controls,Industrial control systems
Unilink Credit,Yes,,,Financial Services - Licensed Moneylender,Personal loans
UNITAS Vein & Endovascular Surgery,Yes,Yes,,Healthcare - Vascular Surgery,Vein and vascular surgery
United E&P Pte Ltd,Yes,,,B2B - Road Construction & Civil Engineering,"Asphalt paving, road milling, pothole repair, runway paving, civil engineering works"
United Language Centre,Yes,,,Education - Language,Language classes
Upfront Living - Danish Design,,Yes,,Retail - Furniture,Danish / Scandinavian furniture
Valsys Technologies Pte Ltd,Yes,,,B2B - Valves / Systems,Industrial valves and systems
Vanguard Business Solutions and Consulting,Yes,,,Professional Services - Consulting,Business consulting
VCC Singapore,Yes,,,Financial Services - Fund,Variable Capital Company / fund services
Vegatron,Yes,,,B2B - Fuel & Lubricants,"Diesel refuelling, mobile on-site refuelling, lubricant oils, marine gas oil, fuel management"
Venture Cars,Yes,,,Automotive - Dealer,Used car dealership
Veritas Medical Aesthetics,Yes,,,Healthcare - Medical Aesthetics,Aesthetic medical treatments
Vigeo Health & Fitness,Yes,,,Fitness & Wellness,Gym and fitness
Vitality Chiropractic,Yes,,,Healthcare - Chiropractic,Chiropractic services
Vivid Creations (for OMAKASE.jp),,Yes,,F&B - Restaurant,Omakase / Japanese dining
Vivid Snaps,Yes,,,Events / Photography,Event photography and photo booth
VOLM Pte Ltd,,Yes,,B2B - Office Design & Fitout,"Office interior design, workplace fitout, joinery, office furniture"
Voltrium System Pte Ltd,Yes,,,B2B - Electrical Systems,Electrical control systems
Wellness Renaissance,,Yes,,Wellness - Essential Oils Workshop,"2-hour in-person essential oils workshops — natural wellness education, gua sha, live testing"
WeMasterTrade,Yes,,,Education - Trading / Finance,"Financial trading education + proprietary trading evaluation (prop firm model); trader funding, mentorship"
Wharton Preschool,Yes,Yes,,Education - Preschool,Preschool and childcare services
Window Art Gallery,Yes,,,Retail - Window Treatments,"Curtains, blinds and window treatments"
Window To The Past Pte Ltd (WTP Furniture),Yes,Yes,Yes,Retail - Furniture,Vintage and designer furniture
Wood Capitol,Yes,,,Retail - Flooring / Wood,Wood flooring products
Work+Store,Yes,,,Real Estate - Self Storage,Self-storage units
World Vision,,Yes,,Non-Profit - Humanitarian,Charity donations and child sponsorship
Xiao Yun Photography,,Yes,,Events / Photography,Photography services
Yadanar Gems,Yes,,,Retail - Jewellery / Gems,Gems and jewellery
Yi Yun Movers,Yes,Yes,,Logistics - Moving,Moving services
Yoga Nation,,Yes,,Fitness & Wellness - Yoga,Yoga classes
Young Generation,Yes,,,Education - Preschool,Preschool and childcare
YT Automation,Yes,,,B2B - Automation,Industrial automation
Zelf Collection,,,Yes,Interior Design & Renovation,Interior Design & Renovation
Zenith Yacht Charters,Yes,,,Leisure - Yacht Charter,Yacht charter services